date_time(UTC:PDT+7), solinst_stage(cm), solinst_stage(ft), manual_stage(cm), manual_stage(ft), flags(1=manual_excluded_from_rating_curve:2=solinst_excluded_from_rating_curve:3=discharge_from_Dana_and_Lyell_stage_time_approximate), discharge(cfs)
2013/07/18 22:05:00, 89.37,  2.93, 89.30,  2.93,  0, 31.75
2013/07/24 22:00:00, 90.53,  2.97, 90.83,  2.98,  0, 36.20
2013/07/29 21:01:00, 90.93,  2.98, 91.44,  3.00,  0,   NaN
2013/08/07 17:30:00, 82.15,  2.70, 82.29,  2.70,  0,   NaN
2013/08/20 21:29:00, 90.76,  2.98, 96.31,  3.16,  0, 53.56
2013/08/20 21:58:00, 90.53,  2.97, 80.77,  2.65,  0,   NaN
2013/08/27 21:58:00, 79.33,  2.60, 80.77,  2.65,  0,   NaN
2013/09/19 21:56:00, 77.71,  2.55, 78.02,  2.56,  0,   NaN
2014/04/04 20:43:00, 82.42,  2.70, 136.54,  4.48,  0,   NaN
2014/04/09 00:19:00, 88.62,  2.91, 118.56,  3.89,  0,   NaN
2014/04/19 18:49:00, 128.19,  4.21, 128.01,  4.20,  0,   NaN
2014/04/30 17:41:00, 118.94,  3.90, 118.87,  3.90,  0,   NaN
2014/04/30 23:21:00, 119.59,  3.92, 119.17,  3.91,  0,   NaN
2014/05/05 22:20:00, 137.42,  4.51, 137.46,  4.51,  0,   NaN
2014/05/06 11:09:00, 137.54,  4.51, 131.06,  4.30,  0,   NaN
2014/05/07 20:25:00, 123.22,  4.04,   NaN,   NaN,  1, 204.98
2014/05/07 20:51:00, 123.05,  4.04, 122.68,  4.03,  0,   NaN
2014/05/15 19:49:00, 144.99,  4.76, 144.77,  4.75,  0,   NaN
2014/05/15 20:25:00, 144.53,  4.74,   NaN,   NaN,  1, 348.24
2014/05/19 21:10:00, 139.53,  4.58, 138.47,  4.54,  0,   NaN
2014/05/19 21:15:00, 139.51,  4.58,   NaN,   NaN,  1, 313.75
2014/06/16 20:53:00, 108.73,  3.57,   NaN,   NaN,  1, 109.85
2014/06/16 21:19:00, 108.48,  3.56, 106.22,  3.48,  0,   NaN
2014/06/23 22:40:00, 102.63,  3.37, 101.49,  3.33,  0,   NaN
2014/07/01 22:46:00, 100.69,  3.30, 100.27,  3.29,  0,   NaN
2014/07/09 20:49:00, 98.01,  3.22, 95.70,  3.14,  0,   NaN
2014/07/17 19:38:00, 113.94,  3.74, 111.55,  3.66,  0, 122.90
2014/07/17 20:22:00, 113.28,  3.72, 110.64,  3.63,  0,   NaN
2014/07/23 17:45:00, 91.85,  3.01, 91.74,  3.01,  0,   NaN
2014/08/27 17:34:00, 78.95,  2.59, 81.07,  2.66,  0, 10.96
2015/05/21 17:33:00, 106.93,  3.51,   NaN,   NaN,  1, 125.30
2015/05/21 17:45:00, 106.65,  3.50, 109.11,  3.58,  0,   NaN
2015/05/28 15:57:00, 137.28,  4.50,   NaN,   NaN,  1, 333.80
2015/05/28 16:13:00, 137.33,  4.51, 138.98,  4.56,  0,   NaN
2015/06/03 21:02:00, 126.48,  4.15,   NaN,   NaN,  1, 216.30
2015/06/03 21:21:00, 126.29,  4.14, 126.03,  4.13,  0,   NaN
2015/06/09 17:06:00, 124.58,  4.09,   NaN,   NaN,  1, 212.00
2015/06/09 17:18:00, 124.34,  4.08, 124.96,  4.10,  0,   NaN
2015/06/15 21:30:00, 117.20,  3.85, 115.82,  3.80,  0,   NaN
2015/06/15 21:53:00, 116.97,  3.84,   NaN,   NaN,  1, 150.45
2015/07/01 19:14:00,   NaN,   NaN, 97.84,  3.21,  2,   NaN
2015/07/01 19:42:00,   NaN,   NaN,   NaN,   NaN,  2, 61.70
2015/07/06 18:38:00,   NaN,   NaN, 93.26,  3.06,  2,   NaN
2015/07/06 18:38:00,   NaN,   NaN,   NaN,   NaN,  2, 47.07
2015/07/16 14:50:00,   NaN,   NaN, 90.22,  2.96,  2,   NaN
2015/07/16 15:17:00,   NaN,   NaN,   NaN,   NaN,  2, 35.92
2015/07/20 14:47:00,   NaN,   NaN, 91.13,  2.99,  2,   NaN
2015/07/20 15:15:00,   NaN,   NaN,   NaN,   NaN,  2, 41.66
2015/07/29 22:46:00,   NaN,   NaN, 85.04,  2.79,  2,   NaN
2015/08/10 16:39:00,   NaN,   NaN, 83.21,  2.73,  2,   NaN
